number,value,datetime_start,datetime_complete,duration,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
0,0.9887445887445887,2025-11-08 12:09:57.229240,2025-11-08 12:40:38.548043,0 days 00:30:41.318803,64,11,0.1271314353683316,19,161,3.842836323484076,4,256,2.854728610707365e-05,3,0.4674370570638978,10,2,5.704741590112924e-05,COMPLETE
1,0.9860627177700348,2025-11-08 12:40:38.548043,2025-11-08 13:02:58.519493,0 days 00:22:19.971450,64,4,0.32813638890307284,20,186,2.6753799902837145,16,128,1.1002564556756776e-05,5,0.4615404030236431,6,4,0.0002435264897631971,COMPLETE
2,0.9208510638297872,2025-11-08 13:02:58.520493,2025-11-08 13:13:05.998529,0 days 00:10:07.478036,32,6,0.3641822690765789,14,181,3.1160512895095778,8,64,0.0017082918460132259,2,0.7274377078376879,7,7,0.00011237064586405581,COMPLETE
3,0.9794871794871794,2025-11-08 13:13:05.998529,2025-11-08 13:39:21.367561,0 days 00:26:15.369032,32,8,0.4652556505040072,14,128,2.2841900473909003,2,64,0.0009500855660315829,5,0.35388315436552364,3,8,0.0005561044325109949,COMPLETE
4,0.8507795100222717,2025-11-08 13:39:21.368561,2025-11-08 13:43:10.644347,0 days 00:03:49.275786,128,10,0.18487053628752115,15,127,3.0498312414593434,4,256,0.006699456244884686,5,0.43075989639773316,6,2,6.423141577153167e-05,COMPLETE
5,0.8984238178633975,2025-11-08 13:43:10.644347,2025-11-08 13:49:30.532908,0 days 00:06:19.888561,128,9,0.38126564195356216,18,53,3.827008351259357,8,256,0.00012775465789599714,4,0.12798836669085942,8,2,0.0005672514503978519,COMPLETE
6,0.8507795100222717,2025-11-08 13:49:30.533907,2025-11-08 13:54:48.567059,0 days 00:05:18.033152,64,5,0.3067498043087019,20,70,2.155731166381721,2,64,0.00651272705386151,6,0.7120943402715731,6,10,0.00011977052430563409,COMPLETE
7,0.9381270903010034,2025-11-08 13:54:48.567059,2025-11-08 14:14:00.122094,0 days 00:19:11.555035,32,12,0.10668591809938462,17,87,0.7448358339314042,4,128,0.0006463826819420822,5,0.46352903971253623,10,1,4.9224225524351976e-05,COMPLETE
8,0.896551724137931,2025-11-08 14:14:00.123093,2025-11-08 14:26:43.727076,0 days 00:12:43.603983,32,10,0.10320424159060715,13,134,2.068777198461044,8,128,0.0018870852912979978,3,0.7914072259429827,3,5,3.734590156113061e-05,COMPLETE
9,0.9149463253509497,2025-11-08 14:26:43.728075,2025-11-08 14:35:18.715087,0 days 00:08:34.987012,64,5,0.24843421600984283,17,151,1.3478751644791593,8,256,0.0005347465075936988,5,0.48935191024165114,10,5,4.8716879372818445e-05,COMPLETE
10,0.8507795100222717,2025-11-08 14:35:18.716087,2025-11-08 14:39:19.522425,0 days 00:04:00.806338,64,12,0.203898338026771,10,163,4.664664128889004,4,256,3.867637834278504e-05,2,0.23794974960447163,9,3,1.177772289036516e-05,COMPLETE
11,0.980836236933798,2025-11-08 14:39:19.523424,2025-11-08 14:57:05.053565,0 days 00:17:45.530141,64,7,0.3153007430374232,20,197,4.249785973498748,16,128,1.3177258770645407e-05,3,0.619383383745904,5,4,0.0002968269317543834,COMPLETE
12,0.987012987012987,2025-11-08 14:57:05.054564,2025-11-08 15:15:21.344471,0 days 00:18:16.289907,64,4,0.45811737987976786,19,177,3.6228990044976475,16,128,1.0903400957083367e-05,4,0.5908991536635908,5,3,0.0002638475121365975,COMPLETE
13,0.9552238805970149,2025-11-08 15:15:21.345471,2025-11-08 15:33:37.315176,0 days 00:18:15.969705,64,11,0.49108674794170315,18,161,3.6829731857552663,16,256,6.133795110228299e-05,3,0.5903715277877372,4,1,1.987135232863088e-05,COMPLETE
14,0.9861830742659758,2025-11-08 15:33:37.316175,2025-11-08 15:52:45.153959,0 days 00:19:07.837784,64,8,0.4244430052126502,18,101,4.916739419085291,4,128,3.9250189719328455e-05,4,0.5920124715109606,8,3,0.0002032079880476573,COMPLETE
15,0.9205807002561913,2025-11-08 15:52:45.153959,2025-11-08 15:59:31.658943,0 days 00:06:46.504984,64,4,0.24599133873316653,16,169,3.7055271044974125,16,256,0.00015510463753276335,3,0.32741484726758974,5,3,0.0009000617963647178,COMPLETE
16,0.9879310344827587,2025-11-08 15:59:31.659942,2025-11-08 16:11:33.014262,0 days 00:12:01.354320,128,7,0.4086637897989923,19,142,4.22265012892167,4,128,2.506895707407062e-05,4,0.879636465910989,8,7,0.00015578241941324896,COMPLETE
