number,value,datetime_start,datetime_complete,duration,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
0,0.8507795100222717,2025-11-08 12:10:20.228373,2025-11-08 12:12:34.396292,0 days 00:02:14.167919,128,8,0.46480229424870967,11,73,4.661486864407162,4,256,0.0036821456842463553,2,0.052980776533709806,0.2720753994977805,6,4,0.0003512219716984208,COMPLETE
1,0.8507795100222717,2025-11-08 12:12:34.397291,2025-11-08 12:21:08.274719,0 days 00:08:33.877428,32,6,0.3793659876411388,16,119,3.337818939006948,16,128,0.003245762930075403,6,0.035649703831628174,0.43777223475204063,3,4,0.0003087902228120449,COMPLETE
2,0.917726887192536,2025-11-08 12:21:08.274719,2025-11-08 12:29:06.381164,0 days 00:07:58.106445,64,7,0.42931238886374024,16,138,4.352872933500731,8,64,0.0013152090090435106,2,0.03355659000643743,0.5210615679012599,5,2,1.1124004251362189e-05,COMPLETE
3,0.9156829679595279,2025-11-08 12:29:06.382163,2025-11-08 12:34:33.482630,0 days 00:05:27.100467,64,4,0.20738013568693647,12,54,2.1867997949761526,2,64,0.0003074391208531625,2,0.0029784836703888404,0.16654731309900841,5,7,0.00010240139739646793,COMPLETE
4,0.8507795100222717,2025-11-08 12:34:33.483630,2025-11-08 12:39:37.394314,0 days 00:05:03.910684,128,10,0.20619322319885244,16,87,3.765883488676869,2,256,0.00038131952650023525,6,0.007795659054443835,0.1508157699083207,3,7,3.5719708841799454e-05,COMPLETE
5,0.6825491363907088,2025-11-08 12:39:37.395314,2025-11-08 12:54:51.321118,0 days 00:15:13.925804,32,12,0.4301745036517332,16,57,0.6755818557115666,2,256,0.006451169510827985,2,0.04994434135744482,0.2439319269889354,5,7,3.3398912672641666e-05,COMPLETE
6,0.9157446808510639,2025-11-08 12:54:51.321118,2025-11-08 13:03:15.366070,0 days 00:08:24.044952,128,8,0.29526149745264796,13,99,3.804519884902809,16,256,0.0006990724363932021,4,0.002103859928302008,0.38339103896172555,4,10,1.2721986519812617e-05,COMPLETE
7,0.9637305699481865,2025-11-08 13:03:15.367070,2025-11-08 13:11:19.697974,0 days 00:08:04.330904,64,6,0.3994123565730284,15,71,4.124114647705472,8,256,0.0004487306807149406,5,0.034135764827159853,0.1378944463839666,5,8,0.0007351482386162048,COMPLETE
8,0.917726887192536,2025-11-08 13:11:19.698973,2025-11-08 13:24:33.425111,0 days 00:13:13.726138,32,9,0.48894592761525385,20,85,4.872192711710073,16,64,0.00029242575570301,2,0.020949467599389156,0.2927503284284184,4,10,3.502105031364072e-05,COMPLETE
9,0.6825491363907088,2025-11-08 13:24:33.425111,2025-11-08 13:27:44.186435,0 days 00:03:10.761324,128,5,0.2849846929294124,15,59,1.3526029119755778,2,256,0.00796673600576257,3,0.02385411645414875,0.696353302513698,3,8,0.00020065358292844804,COMPLETE
10,0.9913494809688581,2025-11-08 13:27:44.186435,2025-11-08 13:43:36.279011,0 days 00:15:52.092576,64,4,0.3528629606061231,19,118,2.602773836663987,8,128,0.00014649145756311276,5,0.009738811876577748,0.7698301223762327,9,1,0.0008192919048903691,COMPLETE
11,0.9220452640402347,2025-11-08 13:43:36.280011,2025-11-08 13:53:59.950246,0 days 00:10:23.670235,64,4,0.3510765731467528,20,120,2.594065526513909,8,128,0.00010043265918971412,5,0.008160514599349585,0.8560690551874479,9,1,0.0006789896470208601,COMPLETE
12,0.9913494809688581,2025-11-08 13:53:59.951246,2025-11-08 14:16:23.505912,0 days 00:22:23.554666,64,6,0.40652578925694727,18,117,1.9003838694824498,8,128,0.00012816802304056082,5,0.09050303781360984,0.6142619254496979,9,4,0.0009699215178551439,COMPLETE
13,0.9159519725557461,2025-11-08 14:16:23.506911,2025-11-08 14:21:30.274362,0 days 00:05:06.767451,64,5,0.3145713904182124,18,122,1.9098545306350796,8,128,0.00010198876056391118,5,0.09476784141800194,0.6607174306003525,9,3,0.0008587693062938605,COMPLETE
14,0.9921671018276762,2025-11-08 14:21:30.275362,2025-11-08 14:33:38.762982,0 days 00:12:08.487620,64,6,0.34361177954640143,18,142,2.8380808503625174,8,128,0.00018228628347663383,4,0.004925064104294109,0.8897514904898167,10,1,0.00041640003562815856,COMPLETE
15,0.9965217391304347,2025-11-08 14:33:38.763981,2025-11-08 14:53:15.533916,0 days 00:19:36.769935,64,4,0.3393164581210377,19,148,3.05571957631437,4,128,0.00021176476524901813,4,0.004542719139145449,0.8804738858998544,10,1,0.00039591814148208206,COMPLETE
16,0.896137339055794,2025-11-08 14:53:15.534915,2025-11-08 15:02:50.655168,0 days 00:09:35.120253,64,5,0.24863215577951336,18,149,3.246373578243154,4,128,0.0011570458252812995,4,0.0010196907677450131,0.8871270160844236,10,2,0.00014636223730578053,COMPLETE
17,0.9214046822742475,2025-11-08 15:02:50.656168,2025-11-08 15:08:43.537408,0 days 00:05:52.881240,64,7,0.3228635715001858,19,150,3.1451882243247384,4,128,0.00020204841545138052,3,0.004398802364713935,0.7883428421735245,7,5,0.00041082861244214845,COMPLETE
18,0.9214046822742475,2025-11-08 15:08:43.537408,2025-11-08 15:17:21.990860,0 days 00:08:38.453452,64,11,0.2563665124123601,17,135,2.9324066293821187,4,128,0.0006415305166881785,3,0.004783673729068286,0.5528941310235351,10,2,7.338056416294784e-05,COMPLETE
19,0.9921671018276762,2025-11-08 15:17:21.991859,2025-11-08 15:48:50.011484,0 days 00:31:28.019625,32,7,0.37177195825374787,14,135,1.2978786967277531,4,128,0.00020177052918932768,4,0.0016262296490588577,0.77209063265758,8,1,0.00022252649463683409,COMPLETE
