number,value,datetime_start,datetime_complete,duration,params_agg_num_layers,params_alpha_physics,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
0,0.8507795100222717,2025-11-08 12:12:09.713106,2025-11-08 12:15:33.325162,0 days 00:03:23.612056,1,0.51862628136419,128,5,0.14851716671340995,18,89,2.009697035099167,8,128,0.004577072189183081,4,0.008462495496020827,0.7979543591220594,4,3,0.0005948419583244653,COMPLETE
1,0.0,2025-11-08 12:15:33.326161,2025-11-08 12:15:34.080739,0 days 00:00:00.754578,4,0.3187491984019629,32,10,0.15343973774150857,11,163,1.4131127127352192,8,64,0.0001319341412338207,3,0.0033714351522304495,0.4934542648877086,3,3,0.0004260234338251621,COMPLETE
2,0.8358862144420132,2025-11-08 12:15:34.081738,2025-11-08 12:25:08.262418,0 days 00:09:34.180680,1,0.6504188071996038,32,5,0.3775340777564147,11,169,1.941411718499819,2,256,0.0016728572378333546,2,0.0027759549842215738,0.41338286350694875,5,7,0.000163519656028241,COMPLETE
3,0.9171648163962425,2025-11-08 12:25:08.262418,2025-11-08 12:38:56.683129,0 days 00:13:48.420711,4,0.39990069019687435,64,7,0.42988389086061807,10,150,1.3834403425557016,4,64,2.7769259208565915e-05,5,0.001760873075540018,0.6275681004694822,5,3,0.00011367104132544277,COMPLETE
4,0.0,2025-11-08 12:38:56.684129,2025-11-08 12:38:57.334764,0 days 00:00:00.650635,4,0.897583320218834,32,12,0.13396037488350934,13,123,2.5123335748529003,4,64,0.002801389314214811,2,0.0017645312081541423,0.11222591465355435,6,7,2.663697685213738e-05,COMPLETE
5,0.8507795100222717,2025-11-08 12:38:57.334764,2025-11-08 12:43:27.607299,0 days 00:04:30.272535,1,0.6719080496304766,128,8,0.1924264085345777,20,185,4.329261303161601,16,64,0.006510591427803639,4,0.006069075621646502,0.4480918031290373,9,8,0.0005562532471230614,COMPLETE
6,0.8978165938864628,2025-11-08 12:43:27.608299,2025-11-08 12:49:47.203568,0 days 00:06:19.595269,4,0.6993855534244384,64,4,0.1862592047048317,19,171,2.800600824396267,2,128,0.00025671504395926746,6,0.014285850316911222,0.2008343048062513,9,6,5.7679850549026766e-05,COMPLETE
7,0.9168053244592346,2025-11-08 12:49:47.203568,2025-11-08 13:03:09.263484,0 days 00:13:22.059916,1,0.5923130935862675,64,5,0.3176853876236718,17,88,2.597012847189994,4,256,0.00035780344831286184,3,0.02334143188200905,0.7999055163767086,10,3,0.00031822957397666796,COMPLETE
8,0.8992747784045125,2025-11-08 13:03:09.263484,2025-11-08 13:07:14.635016,0 days 00:04:05.371532,3,0.2557561681876881,128,7,0.43020649786018716,19,89,4.241423747665037,2,128,0.001449995852634231,3,0.010296390137595163,0.5290538631100693,3,2,0.00026796422612301147,COMPLETE
9,0.0,2025-11-08 13:07:14.635016,2025-11-08 13:07:15.431571,0 days 00:00:00.796555,1,0.8595297883542222,64,11,0.36922642908962466,14,132,3.9228048529329214,4,256,0.0006188962467570017,2,0.003226240045555933,0.3040337113477697,9,3,0.0004594497275852003,COMPLETE
10,0.0,2025-11-08 13:07:15.431571,2025-11-08 13:07:16.335066,0 days 00:00:00.903495,3,0.10884711187717949,64,9,0.4983227150260308,10,51,0.7486911617758123,16,64,1.1721863806782546e-05,6,0.08663475388261957,0.6674740507549118,7,10,1.1122223041435959e-05,COMPLETE
11,0.9528619528619529,2025-11-08 13:07:16.336065,2025-11-08 13:17:36.086492,0 days 00:10:19.750427,2,0.4426657102507738,64,7,0.26896033279725245,16,127,3.0807926420097567,4,256,4.535161198311757e-05,5,0.033374321102856146,0.8625148369112559,7,1,9.117000023154976e-05,COMPLETE
12,0.9225589225589226,2025-11-08 13:17:36.086492,2025-11-08 13:27:55.963849,0 days 00:10:19.877357,2,0.3917438517202126,64,7,0.25716360165441354,16,132,3.3713457998543714,4,256,2.971866002378525e-05,5,0.04368436950403756,0.8783932854063548,7,1,7.599565629309038e-05,COMPLETE
13,0.9410774410774411,2025-11-08 13:27:55.964848,2025-11-08 13:39:03.041809,0 days 00:11:07.076961,2,0.41072167993288855,64,7,0.2544271765753515,16,119,3.496250249252496,4,256,7.623000604669835e-05,5,0.049443287683715496,0.8639079710213872,7,1,5.325990508373333e-05,COMPLETE
14,0.9790209790209791,2025-11-08 13:39:03.042809,2025-11-08 13:52:55.026552,0 days 00:13:51.983743,2,0.19060520289835114,64,8,0.2569532945013414,15,112,3.449827907801889,4,256,7.985822828825038e-05,5,0.038634772694471624,0.8775343695133373,8,1,3.79105771744564e-05,COMPLETE
15,0.0,2025-11-08 13:52:55.026552,2025-11-08 13:52:55.874078,0 days 00:00:00.847526,2,0.14290424134183907,64,9,0.2626027245792485,14,104,4.891137086634057,4,256,5.9818920667909005e-05,5,0.025880567036029572,0.7130628663972798,8,5,2.846894322580016e-05,COMPLETE
16,0.0,2025-11-08 13:52:55.875078,2025-11-08 13:52:56.740594,0 days 00:00:00.865516,3,0.21304923931146086,64,9,0.30830415187834337,15,64,3.2459166634836087,4,256,1.2565191002296792e-05,6,0.09892346824881848,0.757426043434134,8,5,3.7451045157032496e-05,COMPLETE
17,0.8984238178633975,2025-11-08 13:52:56.741593,2025-11-08 13:58:41.663708,0 days 00:05:44.922115,2,0.517166810000564,64,6,0.22077617765054453,13,147,3.006429282530692,8,256,0.0001280193282365939,4,0.04107524388863183,0.6084212114374578,6,1,1.332719522912589e-05,COMPLETE
18,0.9825783972125436,2025-11-08 13:58:41.664708,2025-11-08 14:07:30.714856,0 days 00:08:49.050148,2,0.26530419570085373,128,8,0.338903730201315,16,110,3.813412678400497,16,256,3.543340253101159e-05,5,0.02035710606505584,0.8551817875049077,8,4,0.0001462019874864467,COMPLETE
19,0.0,2025-11-08 14:07:30.715855,2025-11-08 14:07:31.855218,0 days 00:00:01.139363,3,0.26121416545726733,128,10,0.34589433796610614,17,102,3.707438308812461,16,256,2.3158616451613897e-05,6,0.016312174039063206,0.8981665496950193,10,4,0.0001889293990779309,COMPLETE
20,0.9896193771626297,2025-11-08 14:07:31.856217,2025-11-08 14:16:18.050962,0 days 00:08:46.194745,2,0.18355350606318183,128,8,0.40260682036662754,14,72,4.995363829110639,16,128,0.00012889773981362317,5,0.061556799774085624,0.5579437345347,8,9,0.0009797463832544003,COMPLETE
21,0.9896193771626297,2025-11-08 14:16:18.051962,2025-11-08 14:28:51.244766,0 days 00:12:33.192804,2,0.17184936348127716,128,8,0.4098925320491926,14,74,4.737659504349865,16,128,0.00011243758995909711,5,0.064073934551633,0.3482129469016127,8,10,0.0008411268270307221,COMPLETE
