number,value,datetime_start,datetime_complete,duration,params_agg_num_layers,params_alpha_physics,params_batch_size,params_deep_feature_num_layers,params_dropout_rate,params_early_stopping_patience,params_epochs_num,params_grad_clip_norm,params_head_num,params_hidden_dim,params_lr,params_num_layers,params_physics_loss_weight,params_scheduler_factor,params_scheduler_patience,params_warmup_epochs,params_weight_decay,state
0,0.9116666666666666,2025-11-08 12:18:58.958086,2025-11-08 12:27:02.142690,0 days 00:08:03.184604,2,0.2450850167727265,64,8,0.47473826098192284,12,93,1.4727623715524132,4,64,0.002842962579607231,7,0.37535579446436096,0.6527977879984881,3,6,2.6785696085197883e-05,COMPLETE
1,0.9844559585492227,2025-11-08 12:27:02.142690,2025-11-08 12:47:40.126784,0 days 00:20:37.984094,4,0.7519022886855641,64,6,0.13242851993440521,17,173,2.571072161861368,4,128,2.381763958895172e-05,3,0.010327034710282852,0.5734277389576363,3,7,2.5515018338276998e-05,COMPLETE
2,0.980701754385965,2025-11-08 12:47:40.127783,2025-11-08 13:33:44.216101,0 days 00:46:04.088318,3,0.6120197762801317,32,6,0.3518982313456511,14,146,3.705528925909927,8,128,1.0345806952975224e-05,8,0.6737376890833083,0.2877436214978747,8,10,0.0001673510696082819,COMPLETE
3,0.8507795100222717,2025-11-08 13:33:44.217100,2025-11-08 13:38:53.584098,0 days 00:05:09.366998,2,0.7386485993585243,64,10,0.43295680382382573,11,159,2.0331882929646934,2,256,0.00017850828080187697,8,0.01950489706390829,0.8508880075772972,3,4,4.6574733985213664e-05,COMPLETE
4,0.986159169550173,2025-11-08 13:38:53.585098,2025-11-08 13:57:52.443233,0 days 00:18:58.858135,4,0.3689345597513144,128,9,0.11093611681211275,14,117,4.827365484264853,16,64,1.7942633021169105e-05,4,0.0801278802523366,0.753166543249413,3,9,0.00015105189701102115,COMPLETE
5,0.9138513513513513,2025-11-08 13:57:52.443233,2025-11-08 14:15:43.107503,0 days 00:17:50.664270,4,0.2094788791945085,32,4,0.1237531657028522,15,62,4.08166100791421,8,256,0.0002744996153091834,8,0.9417380334857582,0.6460475114489361,3,6,1.789096749863232e-05,COMPLETE
6,0.6825491363907088,2025-11-08 14:15:43.108502,2025-11-08 14:31:19.610798,0 days 00:15:36.502296,3,0.7411385785243972,32,4,0.29317246135810515,20,94,4.116595538667601,8,256,0.008000025080814252,3,0.3891568499144871,0.11408133708135369,10,10,2.4704284273332287e-05,COMPLETE
7,0.9834061135371179,2025-11-08 14:31:19.610798,2025-11-08 14:51:40.541037,0 days 00:20:20.930239,3,0.7483333510027119,64,5,0.26926115321714206,10,124,3.707968238281264,16,64,3.638630843335225e-05,5,0.0435950067526941,0.7422005671376685,6,10,1.7870983990268728e-05,COMPLETE
8,0.9191489361702128,2025-11-08 14:51:40.542036,2025-11-08 15:09:39.064290,0 days 00:17:58.522254,2,0.42163036720955327,64,8,0.24719616370816905,19,187,0.9777768021023818,8,128,0.0007976476465094298,7,0.058074936072890604,0.6218269109826771,8,6,0.0003452739195714675,COMPLETE
9,0.9861351819757366,2025-11-08 15:09:39.065290,2025-11-08 15:42:21.831952,0 days 00:32:42.766662,4,0.5944921600122751,128,8,0.16633447845482363,20,197,4.935549977026216,16,64,1.3281222829389426e-05,5,0.03754114607364326,0.6886866463269318,6,3,0.0004398273837936911,COMPLETE
10,0.9391891891891891,2025-11-08 15:42:21.831952,2025-11-08 15:49:47.711188,0 days 00:07:25.879236,1,0.3937791627055522,128,11,0.21005317263608772,13,114,4.8997576525765165,16,64,7.61979866653342e-05,2,0.16572907818761692,0.4199534849024212,5,1,0.0009984349510610657,COMPLETE
11,0.9818181818181818,2025-11-08 15:49:47.711188,2025-11-08 16:05:13.963384,0 days 00:15:26.252196,4,0.49830516654706936,128,9,0.17911483733095152,17,198,4.950513216021907,16,64,1.651801140753195e-05,5,0.11297072038111865,0.8775022170565421,5,2,0.00030467152769297136,COMPLETE
12,0.9896193771626297,2025-11-08 16:05:13.964384,2025-11-08 16:17:04.199469,0 days 00:11:50.235085,4,0.8996036572561004,128,12,0.10081900730938219,17,146,2.937552717433488,16,64,7.095360987290623e-05,4,0.04447824272880617,0.748331755136602,7,3,9.182251455913326e-05,COMPLETE
13,0.9904596704249783,2025-11-08 16:17:04.200469,2025-11-08 16:33:30.172578,0 days 00:16:25.972109,4,0.8698451696693309,128,12,0.11089615962221865,17,142,2.9605127257521304,16,64,9.9547648086396e-05,4,0.08178364233739736,0.44995237873175037,8,8,8.07580760867349e-05,COMPLETE
14,0.9807355516637478,2025-11-08 16:33:30.173577,2025-11-08 16:45:48.421221,0 days 00:12:18.247644,3,0.8995142109026754,128,12,0.36398592738358077,17,147,2.900815375868756,2,64,0.00011518577490340149,4,0.17980101677058893,0.4316731298739117,8,8,5.6905058236889023e-05,COMPLETE
15,0.9930555555555556,2025-11-08 16:45:48.422221,2025-11-08 17:10:23.092514,0 days 00:24:34.670293,1,0.8996141142429723,128,12,0.21829266494922916,18,149,2.8687133479216804,16,64,0.0006537821968169063,4,0.024442431242347188,0.30542127180959805,10,4,7.975656857128268e-05,COMPLETE
16,0.9895470383275261,2025-11-08 17:10:23.093513,2025-11-08 17:31:20.904652,0 days 00:20:57.811139,1,0.8634709740730648,128,11,0.23364866187387717,18,169,2.262735980003214,16,64,0.0006771338629006456,6,0.022569793837822916,0.2843867526046846,10,4,6.79131022689615e-05,COMPLETE
17,0.9860383944153578,2025-11-08 17:31:20.905651,2025-11-08 17:56:58.493021,0 days 00:25:37.587370,1,0.6207023530054067,128,11,0.1879926203586853,16,135,3.2724843813504774,16,64,0.0008180447236632091,2,0.010341762777218502,0.2622038597168918,9,8,1.0688573081492492e-05,COMPLETE
